"report_yr","county_fips","n_shots","county_nm"
2019,"26013",1,"Baraga"
2019,"26041",177,"Delta"
2019,"26043",321,"Dickinson"
2019,"26053",61,"Gogebic"
2019,"26065",1,"Ingham"
2019,"26071",16,"Iron"
2019,"26099",19,"Macomb"
2019,"26103",1,"Marquette"
2019,"26109",1233,"Menominee"
2019,"26125",6,"Oakland"
2019,"26139",89,"Ottawa"
2019,"26161",2,"Washtenaw"
2019,"26165",2,"Wexford"
2019,"UNK",2,"UNK"
2019,NA,948,NA
2020,"26005",8,"Allegan"
2020,"26013",50,"Baraga"
2020,"26021",5,"Berrien"
2020,"26025",1,"Calhoun"
2020,"26029",7,"Charlevoix"
2020,"26033",5,"Chippewa"
2020,"26041",338,"Delta"
2020,"26043",1130,"Dickinson"
2020,"26045",7,"Eaton"
2020,"26053",585,"Gogebic"
2020,"26055",13,"Grand Traverse"
2020,"26061",1,"Houghton"
2020,"26065",1,"Ingham"
2020,"26071",137,"Iron"
2020,"26075",19,"Jackson"
2020,"26077",2,"Kalamazoo"
2020,"26079",3,"Kalkaska"
2020,"26081",16,"Kent"
2020,"26083",7,"Keweenaw"
2020,"26097",1,"Mackinac"
2020,"26099",2,"Macomb"
2020,"26101",1,"Manistee"
2020,"26103",20,"Marquette"
2020,"26107",15,"Mecosta"
2020,"26109",3355,"Menominee"
2020,"26111",26,"Midland"
2020,"26113",14,"Missaukee"
2020,"26117",21,"Montcalm"
2020,"26123",24,"Newaygo"
2020,"26125",23,"Oakland"
2020,"26131",16,"Ontonagon"
2020,"26139",2,"Ottawa"
2020,"26153",94,"Schoolcraft"
2020,"26159",2,"Van Buren"
2020,"26161",7,"Washtenaw"
2020,"26163",31,"Wayne"
2020,"UNK",14,"UNK"
2020,NA,2368,NA
2021,"26003",4,"Alger"
2021,"26005",3,"Allegan"
2021,"26013",5,"Baraga"
2021,"26021",11,"Berrien"
2021,"26027",3,"Cass"
2021,"26029",1,"Charlevoix"
2021,"26041",296,"Delta"
2021,"26043",877,"Dickinson"
2021,"26047",8,"Emmet"
2021,"26049",22,"Genesee"
2021,"26053",380,"Gogebic"
2021,"26055",4,"Grand Traverse"
2021,"26061",13,"Houghton"
2021,"26065",12,"Ingham"
2021,"26071",123,"Iron"
2021,"26075",1,"Jackson"
2021,"26077",5,"Kalamazoo"
2021,"26081",27,"Kent"
2021,"26087",27,"Lapeer"
2021,"26089",18,"Leelanau"
2021,"26093",28,"Livingston"
2021,"26099",8,"Macomb"
2021,"26103",46,"Marquette"
2021,"26107",5,"Mecosta"
2021,"26109",3497,"Menominee"
2021,"26111",5,"Midland"
2021,"26121",1,"Muskegon"
2021,"26125",46,"Oakland"
2021,"26131",46,"Ontonagon"
2021,"26139",55,"Ottawa"
2021,"26153",10,"Schoolcraft"
2021,"26157",1,"Tuscola"
2021,"26161",6,"Washtenaw"
2021,"26163",16,"Wayne"
2021,"UNK",50,"UNK"
2021,NA,87,NA
2022,"26005",1,"Allegan"
2022,"26021",7,"Berrien"
2022,"26027",8,"Cass"
2022,"26033",29,"Chippewa"
2022,"26041",131,"Delta"
2022,"26043",257,"Dickinson"
2022,"26045",4,"Eaton"
2022,"26053",130,"Gogebic"
2022,"26061",14,"Houghton"
2022,"26065",4,"Ingham"
2022,"26071",81,"Iron"
2022,"26073",8,"Isabella"
2022,"26075",2,"Jackson"
2022,"26081",12,"Kent"
2022,"26085",18,"Lake"
2022,"26087",4,"Lapeer"
2022,"26093",8,"Livingston"
2022,"26099",1,"Macomb"
2022,"26103",59,"Marquette"
2022,"26109",722,"Menominee"
2022,"26115",3,"Monroe"
2022,"26125",1,"Oakland"
2022,"26131",4,"Ontonagon"
2022,"26139",23,"Ottawa"
2022,"26149",1,"St. Joseph"
2022,"26161",8,"Washtenaw"
2022,"26163",42,"Wayne"
2022,"UNK",4,"UNK"
2022,NA,53,NA
